"","A Bilanca odhodkov","9652121502",""
"0401","Formalno izobraževanje in usposabljanje","16410",""
"040106","Štipendije","16410",""
"04010601","Štipendiranje","16410",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","202906",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","202906",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","202906",""
"14030107","Sistem kohezijske politike","202906",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","25036278",""
"1501","Pravosodje","4450000",""
"150103","Izvrševanje kazenskih sankcij","4400000",""
"15010301","Izvrševanje kazenskih sankcij","4400000",""
"150105","Alternativno reševanje pravosodnih sporov","50000",""
"15010501","Izobraževanje nevtralnih oseb","50000",""
